MSE,SSIM,PSNR,Correlation
0.060334,0.997581,0.603252,0.677014
0.071898,0.996688,0.595636,0.633818
0.078860,0.995648,0.591622,0.618767
0.060409,0.996663,0.603198,0.734841
0.051429,0.997724,0.610187,0.644739
0.051373,0.998027,0.610235,0.623654
0.039148,0.997268,0.622037,0.802814
0.080355,0.995275,0.590807,0.572455
0.016732,0.999345,0.658954,0.885585
0.038191,0.998303,0.623112,0.813674
