MSE,SSIM,PSNR,Correlation
0.049898,0.997021,0.611499,0.693161
0.039582,0.997115,0.621558,0.816360
0.037483,0.998223,0.623925,0.780083
0.059699,0.996147,0.603712,0.721152
0.032265,0.998483,0.630435,0.780190
0.043719,0.998412,0.617241,0.671089
0.036381,0.997087,0.625220,0.825749
0.047662,0.997308,0.613491,0.762271
0.024559,0.999158,0.642287,0.831110
0.024465,0.998994,0.642453,0.877428
