MSE,SSIM,PSNR,Correlation
0.050377,0.997742,0.611085,0.676374
0.060238,0.996843,0.603321,0.685213
0.061072,0.996867,0.602724,0.581378
0.056386,0.996629,0.606191,0.761992
0.046769,0.997061,0.614312,0.556893
0.042025,0.998239,0.618957,0.671682
0.054602,0.996411,0.607587,0.707122
0.064787,0.996291,0.600159,0.647441
0.043586,0.997654,0.617373,0.668848
0.070617,0.996652,0.596417,0.576093
