MSE,SSIM,PSNR,Correlation
0.049888,0.996960,0.611509,0.694805
0.061528,0.996236,0.602401,0.686874
0.051948,0.997887,0.609751,0.699123
0.053766,0.996340,0.608257,0.749534
0.045236,0.998067,0.615759,0.680663
0.052232,0.997075,0.609515,0.581069
0.029549,0.997896,0.634254,0.856603
0.056907,0.997094,0.605792,0.710496
0.029766,0.998801,0.633937,0.816431
0.047660,0.997574,0.613492,0.751780
