MSE,SSIM,PSNR,Correlation
0.039384,0.997768,0.621776,0.766118
0.034381,0.998099,0.627677,0.837961
0.048911,0.998016,0.612368,0.718189
0.104860,0.993858,0.579247,0.479403
0.041419,0.998540,0.619588,0.628999
0.035761,0.998465,0.625967,0.730524
0.040006,0.997766,0.621095,0.796740
0.062300,0.997114,0.601859,0.681558
0.024607,0.999062,0.642203,0.832899
0.028023,0.998675,0.636556,0.860421
