MSE,SSIM,PSNR,Correlation
0.034142,0.998399,0.627979,0.798559
0.048423,0.998028,0.612803,0.757364
0.042401,0.998321,0.618571,0.758452
0.049565,0.997285,0.611791,0.772801
0.034859,0.998146,0.627077,0.763575
0.024478,0.999157,0.642430,0.825179
0.051779,0.997153,0.609893,0.723575
0.053236,0.997396,0.608688,0.727884
0.016534,0.999373,0.659470,0.890910
0.041419,0.997337,0.619588,0.799096
