MSE,SSIM,PSNR,Correlation
0.035591,0.997133,0.626175,0.808393
0.060254,0.995514,0.603310,0.696992
0.048881,0.997673,0.612394,0.722123
0.050089,0.997298,0.611334,0.767091
0.028666,0.998827,0.635571,0.782434
0.025238,0.998783,0.641102,0.819854
0.034558,0.996909,0.627453,0.852403
0.062757,0.996916,0.601542,0.670200
0.019430,0.999157,0.652461,0.869594
0.053549,0.997539,0.608433,0.715433
