MSE,SSIM,PSNR,Correlation
0.046918,0.997786,0.614175,0.721958
0.040405,0.998317,0.620665,0.801825
0.067155,0.995076,0.598600,0.736856
0.087141,0.994711,0.587286,0.576222
0.042337,0.996935,0.618636,0.763464
0.026200,0.999141,0.639478,0.813992
0.033956,0.997973,0.628217,0.828861
0.043664,0.998272,0.617295,0.791068
0.025002,0.998729,0.641511,0.850903
0.032465,0.998427,0.630166,0.835554
