MSE,SSIM,PSNR,Correlation
0.044751,0.998191,0.616228,0.725748
0.048314,0.997597,0.612900,0.754084
0.078725,0.996735,0.591697,0.579753
0.068605,0.994201,0.597672,0.704144
0.036015,0.998231,0.625660,0.753148
0.032960,0.998802,0.629509,0.754119
0.027384,0.998604,0.637558,0.865174
0.056124,0.997539,0.606393,0.708152
0.032003,0.998366,0.630789,0.800783
0.048970,0.997469,0.612315,0.743823
