MSE,SSIM,PSNR,Correlation
0.034127,0.998288,0.627998,0.799133
0.039061,0.998277,0.622134,0.809177
0.038536,0.998254,0.622722,0.802083
0.045270,0.997874,0.615727,0.790126
0.044332,0.997415,0.616637,0.726846
0.045252,0.997856,0.615744,0.647704
0.033767,0.997961,0.628459,0.831759
0.046220,0.997942,0.614825,0.766504
0.034302,0.998395,0.627776,0.784089
0.034772,0.998236,0.627185,0.826312
