MSE,SSIM,PSNR,Correlation
0.039649,0.997489,0.621485,0.766003
0.061910,0.995986,0.602132,0.681915
0.039076,0.998516,0.622117,0.766488
0.039480,0.997462,0.621671,0.824465
0.037701,0.998280,0.623673,0.740443
0.031748,0.998859,0.631136,0.764588
0.033496,0.998201,0.628809,0.829757
0.045999,0.997840,0.615034,0.767774
0.025376,0.998527,0.640865,0.854121
0.020279,0.999258,0.650603,0.899257
