MSE,SSIM,PSNR,Correlation
0.061353,0.996252,0.602524,0.610366
0.088341,0.995136,0.586692,0.534169
0.065868,0.996018,0.599441,0.694442
0.031560,0.998737,0.631395,0.864793
0.038831,0.998011,0.622390,0.738228
0.072883,0.997080,0.595046,0.479373
0.033854,0.997907,0.628347,0.830057
0.073800,0.996194,0.594503,0.616174
0.038838,0.998442,0.622383,0.759366
0.045200,0.997966,0.615794,0.787779
