MSE,SSIM,PSNR,Correlation
0.025488,0.998409,0.640675,0.860376
0.083833,0.995460,0.588966,0.565418
0.050503,0.997845,0.610976,0.695222
0.068527,0.992295,0.597722,0.715662
0.028222,0.998513,0.636249,0.813758
0.048773,0.998127,0.612490,0.638313
0.043857,0.996434,0.617104,0.777371
0.061554,0.997168,0.602383,0.684747
0.036949,0.998434,0.624548,0.739848
0.029043,0.998825,0.635003,0.852873
