MSE,SSIM,PSNR,Correlation
0.037195,0.998561,0.624260,0.787376
0.041666,0.998342,0.619329,0.796659
0.056614,0.997585,0.606015,0.696366
0.039052,0.997980,0.622144,0.823222
0.042353,0.997540,0.618619,0.733743
0.037160,0.998737,0.624300,0.719391
0.032899,0.998010,0.629589,0.835878
0.049058,0.997912,0.612237,0.753387
0.024784,0.998844,0.641890,0.846480
0.032513,0.998568,0.630102,0.833801
