MSE,SSIM,PSNR,Correlation
0.046138,0.997971,0.614903,0.722588
0.048150,0.997298,0.613049,0.760377
0.061018,0.997509,0.602762,0.667000
0.086468,0.993340,0.587622,0.562472
0.033887,0.998084,0.628305,0.791874
0.032044,0.998802,0.630733,0.760564
0.035745,0.998096,0.625986,0.819260
0.068055,0.996571,0.598022,0.643347
0.013952,0.999446,0.666845,0.907302
0.029836,0.998835,0.633833,0.851436
