MSE,SSIM,PSNR,Correlation
0.038913,0.998443,0.622299,0.773674
0.061431,0.997303,0.602469,0.695629
0.032932,0.998670,0.629547,0.820004
0.076246,0.996028,0.593086,0.629205
0.032418,0.997709,0.630229,0.800779
0.024071,0.999265,0.643158,0.827930
0.036184,0.998366,0.625456,0.812956
0.042690,0.998293,0.618275,0.790087
0.034150,0.998344,0.627969,0.792064
0.034030,0.998183,0.628122,0.829812
