MSE,SSIM,PSNR,Correlation
0.051197,0.998123,0.610383,0.709669
0.067238,0.996853,0.598547,0.659221
0.065574,0.997179,0.599635,0.667077
0.112914,0.994411,0.576033,0.480823
0.038436,0.997736,0.622834,0.782211
0.055997,0.996922,0.606492,0.653074
0.050662,0.997683,0.610840,0.733271
0.048898,0.998003,0.612379,0.769989
0.023427,0.999048,0.644336,0.847768
0.035533,0.998333,0.626245,0.820103
