MSE,SSIM,PSNR,Correlation
0.035837,0.998534,0.625875,0.794762
0.045880,0.998081,0.615145,0.777677
0.065876,0.997274,0.599435,0.666844
0.119367,0.984969,0.573620,0.364522
0.059799,0.996445,0.603638,0.648518
0.050103,0.997895,0.611321,0.604924
0.061173,0.994832,0.602652,0.681557
0.072917,0.995430,0.595025,0.619269
0.034615,0.998685,0.627382,0.758311
0.042031,0.998407,0.618951,0.789765
