MSE,SSIM,PSNR,Correlation
0.051509,0.997696,0.610120,0.665343
0.061324,0.996746,0.602545,0.675432
0.061859,0.996803,0.602168,0.575046
0.056064,0.996631,0.606440,0.761600
0.046759,0.997056,0.614321,0.558170
0.040093,0.998360,0.621001,0.689320
0.051997,0.996581,0.609710,0.726369
0.062601,0.996447,0.601650,0.664072
0.041931,0.997777,0.619054,0.683475
0.071198,0.996634,0.596061,0.571839
