MSE,SSIM,PSNR,Correlation
0.046649,0.997076,0.614424,0.719194
0.091845,0.993526,0.585003,0.498898
0.068477,0.996916,0.597754,0.636784
0.049773,0.996429,0.611609,0.782748
0.035016,0.998734,0.626881,0.741242
0.067200,0.996680,0.598571,0.415238
0.032926,0.997551,0.629554,0.840014
0.069797,0.996325,0.596925,0.641858
0.019210,0.999309,0.652955,0.869485
0.036509,0.998214,0.625068,0.813653
