MSE,SSIM,PSNR,Correlation
0.030069,0.998277,0.633496,0.827435
0.061859,0.996292,0.602168,0.688420
0.056975,0.997608,0.605740,0.682783
0.069754,0.995097,0.596951,0.663372
0.041169,0.998321,0.619851,0.721573
0.045609,0.998367,0.615403,0.658106
0.037485,0.996747,0.623922,0.825819
0.045795,0.997499,0.615226,0.771026
0.031677,0.998543,0.631234,0.805999
0.035311,0.998580,0.626517,0.823810
