MSE,SSIM,PSNR,Correlation
0.045534,0.998003,0.615475,0.728620
0.086938,0.996341,0.587387,0.555730
0.063846,0.997269,0.600795,0.680242
0.069070,0.994012,0.597379,0.683454
0.055759,0.997069,0.606677,0.635376
0.054751,0.996985,0.607469,0.556311
0.037858,0.998177,0.623493,0.806194
0.064104,0.996320,0.600619,0.673269
0.025403,0.999092,0.640819,0.838233
0.037652,0.998512,0.623730,0.817286
