Z;IDM;BATCH;ITERASI;FID
12;128;50;500;105,4270692
12;128;40;500;107,0112716
18;128;10;3000;107,0465759
18;128;10;10000;107,1120232
18;128;10;2500;107,6426027
18;256;10;10500;107,6861193
18;256;10;2000;107,7812869
6;256;10;1000;107,8278325
18;128;10;12000;107,8404502
18;128;10;4000;108,3147835
18;512;50;1500;108,4309021
3;512;40;1000;108,602303
3;512;30;500;108,8511006
3;256;40;1000;109,7692109
18;128;10;6000;109,8478644
18;128;10;7500;109,9477826
18;128;10;1500;111,0052867
18;128;10;11500;111,160514
18;256;10;8500;111,2701967
18;256;10;3000;111,9174163
18;128;10;8000;112,0257644
18;256;10;11500;112,6246666
3;128;40;500;112,8833168
6;256;10;1500;112,9500763
3;256;30;500;112,9580979
18;128;10;7500;113,0676554
18;256;10;10000;113,2167776
18;128;10;4000;113,3231331
12;128;50;1000;113,6534931
18;128;10;3000;113,7502016
3;256;20;500;113,8407836
3;128;50;1500;114,5828656
12;128;50;1500;114,7039148
18;256;10;7500;115,6042158
3;512;40;500;115,9099683
6;128;10;1500;116,0372882
18;256;10;11000;117,0714371
18;128;10;3500;117,170883
18;128;50;500;117,3624845
18;128;20;3500;117,5925488
18;256;10;10000;118,2489878
18;256;10;12500;118,7652024
18;256;10;11000;118,766077
18;256;10;12000;118,816484
18;128;10;7000;119,8252965
6;128;10;1000;119,9424029
6;512;10;1000;120,2921879
3;128;40;1000;121,2203366
6;256;20;1000;121,3704644
18;128;10;10000;122,4565583
18;128;10;10500;122,9718514
18;256;10;13000;123,2576606
18;128;10;2000;123,3510205
6;128;30;1000;124,3264931
3;256;20;1000;124,9750155
12;512;10;500;125,262822
6;512;20;1500;125,6211333
6;128;20;1500;126,9338871
3;256;40;500;127,7960312
18;256;40;500;128,5747447
12;256;20;1500;132,373277
18;128;20;1000;133,0309395
6;512;50;1500;133,9499946
6;512;30;1500;135,0887409
6;128;50;1500;135,3592269
6;512;20;1000;135,4248784
12;256;10;1500;135,6448958
3;512;50;500;135,668296
18;128;10;4500;135,7971381
18;128;10;1000;138,0464419
12;128;20;1500;139,1268056
18;128;10;1500;141,0131516
12;512;20;1500;142,0591269
6;128;30;1500;143,192998
12;128;30;500;145,9270958
6;512;50;1000;146,5815669
6;128;50;1000;147,2354108
6;128;20;1000;148,1557325
6;256;30;1500;149,0755473
12;512;30;1500;149,5831237
12;512;20;1000;149,9783199
12;256;10;1000;151,1842576
12;128;20;1000;151,6536742
12;256;30;1500;153,3435608
18;256;20;1500;153,9326319
6;256;30;1000;155,0095224
6;128;40;1000;156,6187024
6;256;50;1500;157,1429394
6;256;10;500;157,3505259
12;128;20;500;157,5368372
18;128;20;1500;158,5441559
6;512;10;500;159,3696695
6;256;40;1500;160,2122129
12;256;50;1500;161,3764589
18;128;20;1000;161,7877965
18;256;40;1500;162,8251238
18;128;30;1000;162,9699145
18;512;10;1500;163,9874884
12;512;50;1500;164,0717984
12;256;20;1000;164,1394536
12;128;30;1000;164,9409993
18;512;30;1500;166,3162797
6;128;40;1500;166,3976926
18;512;20;1500;166,4053314
12;512;10;1000;166,8078459
6;256;50;1000;166,817957
12;512;50;1000;168,8377281
18;128;50;1000;169,5187209
12;128;10;1000;169,8262388
18;128;40;1000;171,2576565
12;256;30;1000;171,2704218
6;256;40;1000;171,9460748
12;128;30;1500;172,6474586
18;128;50;1500;173,3975744
6;256;20;500;173,7370181
6;128;20;500;173,7982727
6;512;30;1000;174,0458172
18;256;10;1500;174,2477858
12;256;10;500;175,1685361
18;512;40;1000;175,6306582
18;128;40;500;175,8387478
12;256;40;1500;176,5409041
6;512;40;1000;176,6556763
6;256;20;1500;177,6415637
6;128;40;500;177,6912217
12;512;30;1000;178,1582324
18;512;30;1000;179,2800339
18;128;40;1500;180,7213345
18;256;50;1500;181,0167091
12;256;40;1000;181,2557838
18;512;20;1000;181,2704151
12;128;10;500;181,7191594
18;128;10;500;181,8655647
6;512;30;500;182,4609339
18;512;40;1500;182,5185001
12;512;40;1500;182,9242371
6;128;50;500;183,6984577
12;512;10;1500;185,1641967
12;256;50;1000;187,1068294
18;128;10;3500;187,5010908
18;512;10;1000;188,4533603
12;512;40;1000;189,3187111
18;256;20;500;191,6488387
18;128;20;500;191,7304777
18;256;30;500;191,991326
6;512;50;500;192,1705958
12;128;50;1000;193,6944789
18;128;30;1500;194,2538698
18;128;30;500;194,7592843
12;128;40;500;198,1290355
12;256;40;500;198,4902782
6;256;30;500;198,6724128
18;256;30;1000;199,1302235
18;512;50;1500;200,5867663
12;256;30;500;202,6720684
6;512;40;500;203,6275802
12;512;10;500;203,8921331
12;512;40;500;204,3335397
12;512;50;500;206,2639431
12;256;20;500;207,4663641
6;256;40;500;208,5345238
18;512;20;500;208,9705009
12;256;50;500;209,5941832
18;512;40;500;212,4286797
18;256;50;1000;212,9167976
18;512;50;1000;216,8828448
6;128;30;500;218,4902465
12;128;50;500;218,7151826
18;256;10;500;218,7175691
18;256;40;1000;220,0503591
18;512;30;500;221,0138315
18;256;50;500;238,2623767
3;128;10;500;253,1895874
18;128;10;13000;256,436687
18;128;10;6000;258,669403
18;256;10;1500;260,5308253
18;128;10;12000;263,5899263
6;128;40;1000;263,7832187
6;256;50;500;264,3459443
12;512;50;1000;264,3549048
6;128;10;500;265,6707682
3;512;20;1000;265,8732047
18;128;10;1500;266,6423465
18;128;10;5000;267,762954
12;512;30;1500;268,4685917
6;512;10;1500;268,9625585
18;128;10;5500;269,4765698
6;128;30;500;269,6446955
18;256;10;500;269,8049768
18;256;10;7000;270,285754
6;128;50;500;270,3678428
18;128;10;12500;270,4895821
18;512;10;500;270,5481752
18;256;20;1000;270,6798589
6;256;30;1500;271,1462893
18;128;10;6500;271,2543094
18;256;10;8000;271,409536
18;128;10;7000;271,9449896
18;256;40;500;272,3637784
12;128;40;1000;272,3889899
6;512;50;1500;272,9042293
12;128;30;500;273,5083152
12;256;50;1500;274,1779139
6;512;40;1500;274,441853
18;256;10;1000;274,5211529
18;256;30;1500;274,5583088
12;128;40;1500;274,6474289
12;128;10;1500;274,8266506
3;256;20;1500;275,6829633
18;128;50;500;275,6927314
12;512;20;500;275,8208777
18;256;50;1000;276,1918441
3;256;40;1500;276,1968285
3;256;50;1000;276,6014078
6;512;20;500;276,9441615
18;512;50;500;276,9828589
6;256;50;500;277,8152793
12;512;30;500;278,4989799
3;128;30;1000;278,9992557
6;512;50;500;280,0757994
