Z;IDM;BATCH;ITERASI;FID
12;128;10;3500;102,207655
3;512;10;1500;103,0856515
3;256;20;1000;104,0570518
3;128;20;1500;105,1698055
3;256;20;1500;109,1831497
3;256;40;1500;110,4205441
3;128;10;1500;112,1302569
12;128;10;2500;116,2682318
12;128;10;1500;118,6970395
3;256;10;1000;119,340416
12;128;10;3000;120,6041488
18;128;10;1500;122,7615098
3;256;10;500;124,4891825
12;128;20;2000;124,7259207
3;128;20;500;126,4646817
3;128;30;500;128,7374288
18;128;20;2000;129,5403006
3;128;50;1000;131,1918714
3;256;50;1000;131,5777392
3;512;20;1000;132,369118
12;128;20;3000;133,2113186
3;512;20;500;134,7819436
3;128;10;1000;134,8906447
12;128;20;4000;135,2315617
3;512;40;1000;135,7475582
18;128;10;4500;138,2876435
3;128;20;1000;138,6711019
3;128;50;1500;139,0787733
3;512;40;1500;139,4467689
3;128;40;1500;139,5815508
3;256;30;1500;139,9458227
3;512;50;500;141,8259839
3;512;50;1500;144,7325728
3;128;30;1500;147,6286787
18;128;20;4500;148,5996206
18;128;20;4000;149,4540568
3;512;30;500;149,7875
3;512;30;1500;151,3106376
3;256;50;500;153,7045889
18;128;20;1500;156,3618908
18;128;10;3500;157,4021845
18;128;10;2000;157,7911815
3;512;10;500;161,309596
3;128;30;1000;163,4159705
3;256;50;1500;163,4514635
18;128;10;3000;171,0492892
3;256;30;1000;171,5189957
3;128;40;500;172,1421102
12;128;10;4500;172,2908329
3;256;40;1000;175,6591837
3;256;40;500;176,2233322
3;128;10;500;203,2550158
3;512;10;1000;217,4074433
3;128;40;1000;219,9847684
12;128;20;4500;237,9323859
18;128;10;4000;239,6900721
3;256;30;500;239,8442796
18;128;20;2500;240,3564191
3;256;10;1500;244,4264142
3;512;20;1500;246,6107865
3;256;20;500;247,8024858
3;512;50;1000;252,9220907
3;512;40;500;255,0220985
3;128;50;500;260,7255421
18;128;10;3500;80,01914894
18;128;10;11000;80,1803231
18;128;10;7000;80,43760163
18;128;10;2500;90,84961306
18;128;10;12000;91,07113077
18;128;10;7500;107,7157446
18;128;10;2000;108,5820096
18;128;10;8000;109,0366612
18;128;10;4500;111,5388414
18;128;10;5000;111,7111626
18;128;10;11500;117,0052876
18;128;10;3000;117,2813144
18;128;10;6500;130,7497097
18;128;10;1500;137,6492423
18;128;10;10000;143,0567644
18;128;10;4000;150,1668869
18;128;10;10500;152,6424428
18;128;10;6000;152,8377775
18;128;10;8500;157,5414336
18;128;10;13000;158,3448753
18;128;10;9000;161,1528985
18;128;10;5500;249,8197527
18;128;10;12500;257,1919494
18;256;10;2500;80,22400946
18;256;10;10000;101,991163
18;256;10;4500;102,7327977
18;256;10;1500;111,9079747
18;256;10;2000;116,5868401
