MSE,SSIM,PSNR,Correlation
0.054045,0.997263,0.608033,0.670219
0.065386,0.996807,0.599760,0.669040
0.055374,0.996521,0.606977,0.744010
0.044601,0.998184,0.616374,0.797961
0.033681,0.998690,0.628570,0.694102
0.057402,0.998052,0.605416,0.552788
0.020733,0.998965,0.649641,0.898847
0.037956,0.998530,0.623380,0.817078
0.033647,0.997904,0.628614,0.808187
0.102681,0.994416,0.580159,0.565182
