MSE,SSIM,PSNR,Correlation
0.043190,0.996979,0.617770,0.749157
0.049849,0.997349,0.611542,0.751987
0.053609,0.997856,0.608384,0.692552
0.035309,0.998327,0.626519,0.841912
0.034902,0.997970,0.627022,0.784026
0.028120,0.998949,0.636406,0.795302
0.038178,0.996199,0.623126,0.829776
0.050179,0.997696,0.611255,0.751607
0.017866,0.999305,0.656105,0.882171
0.030197,0.998521,0.633312,0.851759
