MSE,SSIM,PSNR,Correlation
0.026591,0.998470,0.638834,0.852485
0.053367,0.996739,0.608581,0.732012
0.047043,0.998081,0.614058,0.751446
0.064072,0.995630,0.600641,0.694594
0.038922,0.998175,0.622289,0.738461
0.042582,0.998511,0.618386,0.674740
0.028098,0.998397,0.636440,0.863374
0.041583,0.998000,0.619416,0.794484
0.024631,0.999124,0.642160,0.835657
0.020687,0.998782,0.649739,0.906193
