MSE,SSIM,PSNR,Correlation
0.042543,0.997044,0.618425,0.752586
0.039703,0.997508,0.621426,0.812076
0.077721,0.996393,0.592254,0.606995
0.081926,0.994788,0.589966,0.590414
0.033571,0.998014,0.628711,0.791757
0.030190,0.998943,0.633322,0.778347
0.030967,0.998435,0.632218,0.845103
0.054913,0.997637,0.607341,0.724774
0.023117,0.998965,0.644916,0.863115
0.020067,0.999288,0.651059,0.900997
